genome_accession	FF0100_Cultured_Pickle_Raw_Vintage_Kraut	FF0121_straus_organic_kefir	FF0125_straus_organic_yogurt	FF0137_le_gryuere_switzerland	FF0139_taleggio	FF0145_wild_west_ferments_simply_sauerkraut	FF0146_wild_west_ferments_signature_sauerkraut	FF0149_wildbrine_raw_organic_kraut	FF0153_britt's_pickles	FF0154_sonoma_brinery_fresh_pickles,_manhatton_style	FF0155_bubbie's_baby_kosher_dill_pickles	FF0156_cultured_classic_dills	FF0157_sinto_gourmet_kimchi_(mild_white)	FF0158_jongga_mat_kimchi	FF0160_mother_in_law's_kimchi,_house	FF0162_cultured_napa_cabbage_kimchi	FF0230_alpha_tolman_cheese	FF0183_fra'mani_salametto_salame	FF0231_moses_sleeper_cheese	FF0173_gt's_kombucha	FF0219_burlap_&_barrel_iru	FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt	FF0172_rejuvelac	FF0142_sinto_gourmet_kraut-chi_crunchy_beet	FF0129_la_fermiere_creamy_whole_milk_yogurt	FF0198_cafe_colucci_injera_batter	FF0147_wild_west_ferments_limited_edition_saerkraut,_green_garlic	FF0244_matsoni_yogurt	FF0241_kombucha	FF0222_grandios_yellow_pap/ogi	FF0148_wild_west_erments_el_curtido	FF0174_wildbrine_probiotic_sriracha	FF0164_aedan_japanese_fermented_country_miso	FF0143_wild_west_ferments_moroccan_beets	FF0184_journeyman_meat_co_saucisson_sec_salame	FF0256_fermented_black_beans_(douchi)	FF0260_ragi_dosa_batter	FF0232_harbison_cheese	FF0228_bayley_hazen_blue_cheese	FF0134_jasper_hill_farm_willoughby	FF0238_amazake	FF0200_wise_goat_honey_fermented_garlic	FF0218_burlap_&_barrel_white_peppercorns	FF0253_water_kefir_grains	FF0223_chantle_sourdough	FF0206_wild_west_ferments_chili_paste	FF0140_cultured_beets_with_fennel	FF0239_jalapeno_kasuzuke_(18mo)	FF0062_hornbacher_cheese	FF0224_cj_doenjang	FF0036_traditional_red_miso	FF0220_elizabeth_sourdough	FF0240_kabocha_kasuzuke_(5yr)	FF0209_taro_brand_sour_poi	FF0175_huy_fong_sriracha_chili_sauce	FF0086_fermented_seaweed_salad	FF0204_wild_west_ferments_spicy_italian_pickle	FF0177_berkeley_bowl_kalamata_olives_pitted	FF0132_good_culture_cream_cheese_spread	FF0136_rivoir-jacques_vache_comte	FF0161_queens_beachu_kimchi	FF0163_cultured_sweet_white_miso	FF0144_wildbrine_red_beet_&_cabbage	FF0150_sonoma_brinery_raw_sauerkraut	FF0251_millet_dosa_batter	FF0180_ny_natto_black	FF0133_le_chatelain_camembert	FF0092_new_york_natto_organic	FF0202_cultured_pickle_chile_paste	FF0236_morel_mushroom_miso	FF0192_braggs_apple_cider_vinegar	FF0091_meechun_salted_black_bean	FF0221_shastha_foods_idli/idli_batter	FF0234_gochujang	FF0210_cultured_spicy_okra	FF0242_carrot_nukazuke	FF0127_bellwether_farms_a2_organic_whole_milk_yogurt	FF0229_cabot_clothbound_cheese	FF0138_beemster_aged_gouda	FF0245_piima_yogurt	FF0130_good_culture_cottage_cheese	FF0249_dosa_batter	FF0258_sorghum_dosa_batter	FF0237_cultured_sea_kraut	FF0124_white_mountain_bulgarian_yogurt	FF0243_filmjolk_yogurt	FF0122_alexandre_farms_prebiotic_kefir	FF0123_kefirlab_probiotic_kefir	FF0178_golden_state_pickle_works_cabbage_w/_caraway	FF0131_vermont_creamery_creme_fraiche	FF0252_kefir_grains	FF0233_winnimere_cheese	FF0141_local_culture_beet_+_fennel	FF0165_yabajurushi_tsubu_jikomi_miso	FF0246_viili_yogurt	FF0151_farmhouse_culture_kraut	FF0191_the_tao_of_tea_organic_topaz_puer	FF0179_dragonfly_preserved_bean_curd_in_chili_oil	FF0159_mother_in_law's_kimchi,_vegan	FF0126_nancy's_probiotic_whole_milk_yogurt	FF0211_kopabana_cassava_fufu	FF0235_turmeric,_ginger,_jalepeno_sauerkraut	FF0176_mani_pitted_castelvetrano_olives
MAG_579	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FalardeauJ_2023__SRR20811137__bin.9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0
GCF_010306265.1_ASM1030626v1_genomic	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODFM-BA-A-0094-002_Leuconostoc_lactis_WIKIM21	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0
ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
YouL_2022__SRR13308526__bin.24	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MASTER_WP4_TEAGASC_1__TGS08-29__bin.64	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
LiZ_2019__SRS3379157__bin.3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
FontanaF_2023__SRR20746869__bin.1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
EBC_147.23	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
XieM_2019__SAMC044639__bin.32	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0
LeechJ_2020__ERS3967699__bin.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
LeechJ_xxxx__AF84__bin.30	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0
MAG_45	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
MAG_501	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1
MortensenS_xxxx__WK028-2-L-48h-03A1_S20__bin.5	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0
ODFM-BA-A-0005-002_Lactobacillus_curvatus_WiKim38	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0
Wy2_bin.circ.1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
MAG_496	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCF_006740305.1_ASM674030v1_genomic	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
PatroJN_2016__SRS1044738__bin.12	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAG_502	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CM_UNINA_FFOOD__FFOOD_415__bin.4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CM_UNINA_FFOOD__FFOOD_337__bin.6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MASTER_WP4_CSIC_1__P2235_73323__bin.20	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FontanaF_2023__SRR20746979__bin.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
MASTER_WP4_FFoQSI_1__VB-16-M13__bin.18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FontanaF_2023__SRR20746951__bin.4	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1
YangC_2021__SRR13259378__bin.4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
MASTER_WP4_FFoQSI_1__VB-03-M5__bin.22	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QuijadaN_2022__ERR7245779__bin.25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
